product,price,discount_price,discount_percentage,brand,seller,rating_stars,rating_quantity,shipping,installments,Delivered_by_platform,picture,url,price_new,discount_price_new,discount_percentage_new,rating_stars_new,rating_quantity_new
Campera Importada Inflable Pluma + Corderito Hombre Y dama,64.988,37.890,41% OFF,ALPINA,Por Alpina ,4.5,(2161),Llega gratis mañana,en 6 cuotas de $8.671,False,https://http2.mlstatic.com/D_Q_NP_2X_912535-MLA85062542388_052025-AB.webp,https://articulo.mercadolibre.com.ar/MLA-1420785849-campera-importada-inflable-pluma-corderito-hombre-ydama-_JM#polycard_client=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&position=7&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0,64988.0,37890.0,41,4.5,2161
Colchón De Espuma En Caja Freestyle Box 2 Plazas 140x190 La Espumería Color Gris Oscuro,846.169,271.396,67% OFF,LA ESPUMERÍA,Por La Espumeria ,4.7,(7342),Llega gratis mañana,en 6 cuotas de $62.109,True,https://http2.mlstatic.com/D_Q_NP_2X_825322-MLA86398215490_062025-AB.webp,https://www.mercadolibre.com.ar/colchon-de-espuma-en-caja-freestyle-box-2-plazas-140x190-la-espumeria-color-gris-oscuro/p/MLA18642968?pdp_filters=item_id%3AMLA1346894826#polycard_client=offers&wid=MLA1346894826&sid=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0&position=8,846169.0,271396.0,67,4.7,7342
Proyector Portátil 4k Wifi Bluetooth Led Full Android Hd,249.999,99.999,60% OFF,ARTEC,Por La Espumeria ,4.6,(77),Llega gratis mañana,en 6 cuotas de $22.884,False,https://http2.mlstatic.com/D_Q_NP_2X_841817-MLA85252967408_062025-AB.webp,https://articulo.mercadolibre.com.ar/MLA-1952022080-proyector-portatil-4k-wifi-bluetooth-led-full-android-hd-_JM#polycard_client=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&position=9&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0,249999.0,99999.0,60,4.6,77
Cámara De Seguridad Wifi Gadnic Sx9 Ip 1080p Visión Noctura Inalambrica Motorizada,29.999,26.403,11% OFF,GADNIC,Por Gadnic ,4.5,(14360),Llega mañana,en 6 cuotas de $6.042,False,https://http2.mlstatic.com/D_Q_NP_2X_700531-MLA86039176198_062025-AB.webp,https://www.mercadolibre.com.ar/camara-de-seguridad-wifi-gadnic-sx9-ip-1080p-vision-noctura-inalambrica-motorizada/p/MLA18635106?pdp_filters=item_id%3AMLA1480893575#polycard_client=offers&wid=MLA1480893575&sid=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0&position=10,29999.0,26403.0,11,4.5,14360
Calefactor Eléctrico Peabody Pe-cv20 Blanco P2,169.999,118.999,30% OFF,PEABODY,Por Peabody ,4.3,(350),Llega gratis mañana,Mismo precio en 6 cuotas de $19.833,True,https://http2.mlstatic.com/D_Q_NP_2X_697524-MLA84554373678_052025-AB.webp,https://www.mercadolibre.com.ar/calefactor-electrico-peabody-pe-cv20-blanco-p2/p/MLA14998438?pdp_filters=item_id%3AMLA2096952792#polycard_client=offers&wid=MLA2096952792&sid=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0&position=11,169999.0,118999.0,30,4.3,350
Silla Ergonomica X2 Oficina Escritorio Computadora Sillon,149.999,115.199,23% OFF,SMART TECH,Por Proshop ,4.5,(38),Llega gratis mañana,en 6 cuotas de $26.363,False,https://http2.mlstatic.com/D_Q_NP_2X_856492-MLA86087891900_062025-AB.webp,https://articulo.mercadolibre.com.ar/MLA-2081899240-silla-ergonomica-x2-oficina-escritorio-computadora-sillon-_JM#polycard_client=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&position=12&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0,149999.0,115199.0,23,4.5,38
Colchon Balance Plus 140x190x25 Sleep Box Color Gris Y Blanco,787.250,310.958,60% OFF,SLEEPBOX,Por Sleep Box ,4.8,(927),Llega gratis mañana,en 6 cuotas de $71.162,False,https://http2.mlstatic.com/D_Q_NP_2X_979596-MLU76466396494_052024-AB.webp,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=3%2FepB2QFA%2FUVqey2eor8cmDExlQ6lzTQKqyVPOamHxLpzAVbGP%2Fwzi2rs%2FBaFabsUVKV0xLskR5aX0NB9P4lJnfg0OY%2B80FIp8Aqrm0q7d7LxEKoeN0D%2FO8eJ%2Butdl5dQaGEBFlsPhWOxFHAgsM3rG%2F2rruwwhuLBySuV2l%2FKxr5KIJmUiXCM7pIj8C0AS4vgYxrq3%2BCe8AMsmgyWkVXzFnjDeXpyux8PHGp8e1l0gBOwhZA8369qlFAJwnx2WnTlzn5QVxcR%2BGLH04f8BTpABuN8GIs1a6xoaeW2gaQygVrRLYI6tqYI8frSNv0miR5WIlxRbeLUhm8lqm6Xy2qg4lFdF3cmCU8W5B%2FZKBIKvFYM2LDc%2FZs7%2Fi41D54uQc9EkWMz0HbB9sBuH47WntmzVrLTIMQvWT68xwEdpvYLOyqUnBD9GuUEryt5Gl5O%2FVq0SCsBxPFopR54Qn1ekvVYx88XiZqI8FcuHl%2BXNhIocWiv%2BVRolEMKwNFiH0ank4xjsFewQs3q5ex6oJIlFXvxIxSR42xEFnvjGfl9co%3D&url=https%3A%2F%2Fwww.mercadolibre.com.ar%2Fcolchon-balance-plus-140x190x25-sleep-box-color-gris-y-blanco%2Fp%2FMLA27860806%23wid%3DMLA1548496974%26sid%3Doffers%26searchVariation%3DMLA27860806%26position%3D7%26search_layout%3Dgrid%26deal_print_id%3Ddcfc8088-bfd1-4f1c-98f6-a536bd355358%26tracking_id%3Df34431f3-0e66-43c5-9a44-3562d99ba3a0&lm=227771116#polycard_client=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&position=5&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0&wid=MLA1548496974&sid=offers,787250.0,310958.0,60,4.8,927
"Notebook Hp Amd Ryzen 5 7520u, 8gb Ram Ddr5, 512gb Ssd, Pantalla 15.6  Full Hd, Windows 11, Color Silver",1.057.999,857.599,18% OFF,HP,Por Sleep Box ,4.9,(44),Llega gratis mañana,Mismo precio en 12 cuotas de $71.466,True,https://http2.mlstatic.com/D_Q_NP_2X_935123-MLA82928219309_032025-AB.webp,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=q2aNNMioxXffdrCGnsPCPgRZlIFNxGUCFFxjt6Cw%2FygB7fEoOyNr2DFer5L7NwNwynaGLgog%2BigXOjWmy8HIOKX8Ikvoly9ZKBhPj2BDdD0X8UF8P%2FO%2B57jiYg15Dto5hcM4UKVbBtSpIj0JC8GKXoSjpIvitZSPAxziLPGUcLUY2MXx0RiFIyZNGLs42LUULHSzM%2FtEw6LNg6KlxK0hHjcN9V9ffzOkNTXxIHIMeNCrSmf3jC2QONj4DlBoeRB3Z9XQxY7zNTjyTInxEDHz6O0tzSRqsoW%2BTc0BsfBcRo547qBSxGa2xgQ7vuusJ%2FdkIuZBhNzYc3TyVzMwXNCU8Q4T2b832AKyrtVFmMBiTDvE%2FrGLad6Bp3Iyv2mFmuV%2F2gzl2VzWB06yzxFikqXI%2Bj9jIr7%2Bjd6njntjj1LizcWC1FfSwM2n8ocHLvUD9HsNMP%2FhPah8yBYSQTWpLS3QHteuo9qPJj1onwUeimpErBxXhqqpbvBAajIpOcH0a%2FpoV601f%2F7MxI4OqZCGGC8lHZM4huXr9GOBC3KWmpQP4g%3D%3D&url=https%3A%2F%2Fwww.mercadolibre.com.ar%2Fnotebook-hp-amd-ryzen-5-7520u-8gb-ram-ddr5-512gb-ssd-pantalla-156-full-hd-windows-11-color-silver%2Fp%2FMLA46910915%23wid%3DMLA2027768126%26sid%3Doffers%26searchVariation%3DMLA46910915%26position%3D8%26search_layout%3Dgrid%26deal_print_id%3Ddcfc8088-bfd1-4f1c-98f6-a536bd355358%26tracking_id%3Df34431f3-0e66-43c5-9a44-3562d99ba3a0&lm=-1775081808#polycard_client=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&position=1&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0&wid=MLA2027768126&sid=offers,1057999.0,857599.0,18,4.9,44
Sobretodo Paño Simón De La Costa Abrigo Montgomery Hombre ,162.350,121.762,25% OFF,SIMÓN DE LA COSTA,Por Sleep Box ,4.7,(182),Llega gratis mañana,Mismo precio en 3 cuotas de $40.587,False,https://http2.mlstatic.com/D_Q_NP_2X_686300-MLA85597118607_062025-AB.webp,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=yYQbsUkDkBUDaDch2Loxo4XwJYynAIw8JPpyyFmOIiUNob6YNvOANfq4YUgkYJrvYeXn1WKZhJlfKeCovxZhh7hNl9x45N4XFgNAQvZuowfMh%2BNt5KncaeDfzRj7fLhvD8CdzkRluVGZf9Q05kowLUGM7p2%2F%2BtWc2gsijtMTNbnQShzAc9FEuFSr%2BKsabQ7duibtKpaVUfT7RTxFvFEA%2B4at9h8fxGcGS%2ByD9V3V4gc2Xiz5zqm%2BSX%2BAV16pA4OyDJ3S7%2FtULWcq7q7c1iq4ngnUHp4kBwNl5dieXBl3BryVzb%2Fe2tD210FK0VaJiA5YWtlHELmPs9f1Hf54cEv3seeUxYovwsQipkVYzEiBazOcyKUqcKMOnutL2shqmQjlMrN7VMCHUGlcnUUIgUiQMarAVXt4Ltoylgdf9ySuTR3nUDW35HsNk92TLN96rSe14D2wgUP9qyU%2B33Zal41xkctJRdgwDsheal7m5sEnKlYzxXlSoBv3KtDMvu1irdopdKhcXUW3LFRmd4qpErg%2B5H%2FgADR7%2BMvs%2FtM7%2FBW9&url=https%3A%2F%2Farticulo.mercadolibre.com.ar%2FMLA-1409623194-sobretodo-pano-simon-de-la-costa-abrigo-montgomery-hombre-_JM%23searchVariation%3D0%26position%3D9%26search_layout%3Dgrid%26deal_print_id%3Ddcfc8088-bfd1-4f1c-98f6-a536bd355358%26tracking_id%3Df34431f3-0e66-43c5-9a44-3562d99ba3a0&lm=-1576557603#polycard_client=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&position=2&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0,162350.0,121762.0,25,4.7,182
Notebook Lenovo Ideapad 1 15ijl7 Intel Celeron N4500 20 Gb Ddr4-sdram 128 Gb Emmc 39.6 Cm (15.6 ) 1366x768px Wi-fi 5 (802.11ac) Teclado Español Windows 11 Home Color Abyss Blue,1.126.499,587.499,47% OFF,LENOVO,Por ESPACIO ELECTRONICA ,4.6,(56),Llega gratis mañana,Mismo precio en 12 cuotas de $48.958,False,https://http2.mlstatic.com/D_Q_NP_2X_867260-MLA82234069195_022025-AB.webp,https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-20-gb-ddr4-sdram-128-gb-emmc-396-cm-156-1366x768px-wi-fi-5-80211ac-teclado-espanol-windows-11-home-color-abyss-blue/p/MLA42565280?pdp_filters=item_id%3AMLA1949542982#polycard_client=offers&wid=MLA1949542982&sid=offers&deal_print_id=dcfc8088-bfd1-4f1c-98f6-a536bd355358&tracking_id=f34431f3-0e66-43c5-9a44-3562d99ba3a0&position=13,1126499.0,587499.0,47,4.6,56
