product,price,discount_price,discount_percentage,brand,seller,rating_stars,rating_quantity,shipping,installments,Delivered_by_platform,picture,url,price_new,discount_price_new,discount_percentage_new,rating_stars_new,rating_quantity_new
Smart Tv 55  4k Led 55pud7309/77 Gris Oscuro Philips,785.399,649.999,17% OFF,PHILIPS,Por Mercado Libre ,4.6,(44),Llega gratis mañana sábado,Mismo precio en 9 cuotas de $72.222,True,https://http2.mlstatic.com/D_Q_NP_2X_907843-MLA84328536520_052025-AB.webp,https://www.mercadolibre.com.ar/smart-tv-55-4k-led-55pud730977-gris-oscuro-philips/p/MLA49831332?pdp_filters=item_id%3AMLA1500722329#polycard_client=offers&wid=MLA1500722329&sid=offers&deal_print_id=34fc018d-ccdb-42da-ad52-2c2779f42497&tracking_id=c7250f89-69b6-47bd-9599-609ec6151755&position=7,785399.0,649999.0,17,4.6,44
Panel Calefactor Vitro Digital Atma 1500w Atvc1521p Color Negro,168.000,150.058,10% OFF,ATMA,Por Tiendasur ,4.6,(680),Llega gratis hoy,en 6 cuotas de $34.340,False,https://http2.mlstatic.com/D_Q_NP_2X_679163-MLA85083919035_052025-AB.webp,https://www.mercadolibre.com.ar/panel-calefactor-vitro-digital-atma-1500w-atvc1521p-color-negro/p/MLA19577003?pdp_filters=item_id%3AMLA2100933094#polycard_client=offers&wid=MLA2100933094&sid=offers&deal_print_id=34fc018d-ccdb-42da-ad52-2c2779f42497&tracking_id=c7250f89-69b6-47bd-9599-609ec6151755&position=8,168000.0,150058.0,10,4.6,680
Soldadora Inverter Lusqtoff Megairon100-8 Mascara Escuadras Magneticas Naranja/negro 220v 50hz,165.699,145.815,12% OFF,LÜSQTOFF,Por SCD ,4.8,(2088),Llega gratis hoy,en 6 cuotas de $33.369,False,https://http2.mlstatic.com/D_Q_NP_2X_733704-MLA79728994523_102024-AB.webp,https://www.mercadolibre.com.ar/soldadora-inverter-lusqtoff-megairon100-8-mascara-escuadras-magneticas-naranjanegro-220v-50hz/p/MLA32175464?pdp_filters=item_id%3AMLA1730342956#polycard_client=offers&wid=MLA1730342956&sid=offers&deal_print_id=34fc018d-ccdb-42da-ad52-2c2779f42497&tracking_id=c7250f89-69b6-47bd-9599-609ec6151755&position=9,165699.0,145815.0,12,4.8,2088
Bomba Presurizadora Elevadora Daewoo 260w 4 Baños Bronce,167.642,69.043,58% OFF,DAEWOO,Por Pideweb ,4.5,(523),Llega gratis mañana sábado,en 6 cuotas de $15.800,True,https://http2.mlstatic.com/D_Q_NP_2X_694058-MLA48596098389_122021-AB.webp,https://articulo.mercadolibre.com.ar/MLA-1116402658-bomba-presurizadora-elevadora-daewoo-260w-4-banos-bronce-_JM#polycard_client=offers&deal_print_id=34fc018d-ccdb-42da-ad52-2c2779f42497&position=10&tracking_id=c7250f89-69b6-47bd-9599-609ec6151755&wid=MLA1116402658&sid=offers,167642.0,69043.0,58,4.5,523
Silla Ergonomica Oficina Escritorio Computadora Sillon Cuota,89.999,63.029,29% OFF,SMART TECH,Por Proshop ,4.3,(259),Llega gratis hoy,en 6 cuotas de $14.424,False,https://http2.mlstatic.com/D_Q_NP_2X_619380-MLA84243396299_042025-AB.webp,https://articulo.mercadolibre.com.ar/MLA-1110495967-silla-ergonomica-oficina-escritorio-computadora-sillon-cuota-_JM#polycard_client=offers&deal_print_id=34fc018d-ccdb-42da-ad52-2c2779f42497&position=11&tracking_id=c7250f89-69b6-47bd-9599-609ec6151755,89999.0,63029.0,29,4.3,259
Cesto Canasto Ropa Sucia Tela Impermeable Plegable C/ Manija,17.990,14.931,17% OFF,LA BALANZA SHOP,Por La Balanza Shop ,4.6,(2701),Llega mañana sábado,en 6 cuotas de $3.417,True,https://http2.mlstatic.com/D_Q_NP_2X_601796-MLA77273706764_072024-AB.webp,https://articulo.mercadolibre.com.ar/MLA-1185973769-cesto-canasto-ropa-sucia-tela-impermeable-plegable-c-manija-_JM#polycard_client=offers&deal_print_id=34fc018d-ccdb-42da-ad52-2c2779f42497&position=12&tracking_id=c7250f89-69b6-47bd-9599-609ec6151755,17990.0,14931.0,17,4.6,2701
Smart Tv Uhd 4k 65 Sharp Google Tv S6523us6g,1.519.999,989.998,34% OFF,SHARP,Por Sharp ,4.7,(7),Envío gratis,Mismo precio en 6 cuotas de $164.999,False,https://http2.mlstatic.com/D_Q_NP_2X_824324-MLU77660242617_072024-AB.webp,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ipFv7%2FH3pqCYRuFDCpzsyRfOeTmD2uOzjy7NqHCDcTDX1XvM0KSS2lkRXPHdXS5vnjR%2BUauKdIc3GulsXl0Wz%2BYaWUnn90spqLtvrsf535J0k63CnMqmbMW9sQfEwRjXvriaDd1lkkeApq25S5kwzClz%2BbKKV4JGXT0C4MvUFXKThoumz7on%2FDUO3Bzd982CXnV2venNdpxvPm9ShT5fbWH3RqcztzjP%2FbiLW9rWTbkXekTf74zPBgC4GKQ5fZwxFXDHfCNx9H1uPwbRzwEitsTljBHM7x4zxe6KM8PD0ON%2F7PpPbCH2hfpubYV83mxbb5aZZ%2F8X5c9fOw9ivqorev8XhBUROLSnisomcT2DK4uTIMgV83t3uKkb6pt7DWJC8q4J9Ux%2BGEnac7OH7pVANKrhGZ6T7H42JOm3aq4Ov1raQ9bNAD1B6yderK72PN7i2ywBriTxunfHEYax8jRUjmH9sadqaHcHhl2ZAjO7Uo48bVV%2BY0%2BDN20bz8tW2EqbUTWA7%2F07c7Cc1Xf2WP8TSXI9f2RiUfjkxpHBzPc%3D&url=https%3A%2F%2Fwww.mercadolibre.com.ar%2Fsmart-tv-uhd-4k-65-sharp-google-tv-s6523us6g%2Fp%2FMLA32108958%23wid%3DMLA1658680418%26sid%3Doffers%26searchVariation%3DMLA32108958%26position%3D7%26search_layout%3Dgrid%26deal_print_id%3D34fc018d-ccdb-42da-ad52-2c2779f42497%26tracking_id%3Dc7250f89-69b6-47bd-9599-609ec6151755&lm=1522989859#polycard_client=offers&deal_print_id=34fc018d-ccdb-42da-ad52-2c2779f42497&position=4&tracking_id=c7250f89-69b6-47bd-9599-609ec6151755&wid=MLA1658680418&sid=offers,1519999.0,989998.0,34,4.7,7
Escalera De Aluminio Multipropósito Lüsqtoff Le400 Plateada,225.499,180.399,20% OFF,LÜSQTOFF,Por Sharp ,4.7,(23),Llega gratis mañana sábado,Mismo precio en 6 cuotas de $30.066,False,https://http2.mlstatic.com/D_Q_NP_2X_814456-MLA48242777956_112021-AB.webp,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=5GJv0h2pmBp3Ux3X2KmVua7d10UXZbzr3iB8zKmvjHRhgUlxZd9NwO4XYig0zgL%2Fkvp9oqG6R53ASpqAvSF1lf%2BgDLHvG%2FsxMZaP4QYKHgdnA85MarR9hBMbYV05UXqGTBM%2F7NvSQESI1mpJ6SZYso98DoWdWhPjAJsKKf1FIu2NaK47DWqYfqJbB1dSOeNXizRKHUG%2BC3hQb6emUGiN%2FI%2BfrvGwUNiDd0SadNvg2pgvxCEp7hCmOvB6eye2klk9BLWZhXQiV%2FcaVp6vXAlTvR9ek83oWI6GhgoUXxMxmLPc0IQyzDf4Jl7JdLMC3A6K7XkI7Uv%2FxFPe7VIiWTA6H7ss9OyMd9P8IVdf%2B2xESy2St1EnduLtrKFChTWPtffaxXXq%2FNoNxS4sgIChAqhsX99nIRgCS4NBnIKpfC1IBA9BaGk6eizBFYdwrBjZWQ3AMUTs6QuXx%2B%2FKe8pz%2BihS7m4bef39wzWDpTxpmTG5iVhwMTpSCZNt6aFuPfpqVjGI0Qt6Fb8hSkKNGkPpIUic1l0XQzQK4c55O3%2F8AvuxqA%3D%3D&url=https%3A%2F%2Fwww.mercadolibre.com.ar%2Fescalera-de-aluminio-multiproposito-lusqtoff-le400-plateada%2Fp%2FMLA18605599%23wid%3DMLA1423567855%26sid%3Doffers%26searchVariation%3DMLA18605599%26position%3D8%26search_layout%3Dgrid%26deal_print_id%3D34fc018d-ccdb-42da-ad52-2c2779f42497%26tracking_id%3Dc7250f89-69b6-47bd-9599-609ec6151755&lm=857724235#polycard_client=offers&deal_print_id=34fc018d-ccdb-42da-ad52-2c2779f42497&position=1&tracking_id=c7250f89-69b6-47bd-9599-609ec6151755&wid=MLA1423567855&sid=offers,225499.0,180399.0,20,4.7,23
Convector Ch-p120bae1 2000w Negro Midea,92.699,64.599,30% OFF,MIDEA,Por Midea Argentina ,4.5,(174),Envío gratis,en 6 cuotas de $14.783,False,https://http2.mlstatic.com/D_Q_NP_2X_685228-MLA84838921509_052025-AB.webp,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=zD0U2AqRuONEWUGdT49O7s5fyt%2B7ipbpIuEvxxZT1qG%2BAFJ0UNJoD1v%2BbfswnUwyjWv6ky3flJDixjuXUDHFiCF8%2BhRsewIEsZC0j3MJo%2B671Glr9Bv8Y2HhJXKEcjblQrRNLUZPg9SB%2Fgyhfm7Az8oXfVxzCA8ufw%2FC3lij4nF15dRqqVURvHojHYKrC7jOjRV58ZFWFF%2BlvrHZGOnm%2BgOqKJja6c6nFjvtE4IeNvKRvesop929g5aUVCVUOHMp1WUm8DgyBkxdbEzcqcPZkrh1OIiWmq8cVYtJm9DRW5OjRG47rByPCqeP3hk1EM2BbsL9qj65zAJUmra0Egkbdj4FGkuyXMS75sI4%2By0hYZEpDoAud86uXz1iin4fEBOUANNr5egO8RabCO6YDbGvtEYoSL1CjAhq99Dc6gsABepcLNP8ELG5FfQbT0JGpJxIwg9EwT2HFl9mtrTC1Y1qzKLDrkDOhuN9zeyEKjUl993bNKYR2U9X12FsCRD%2Bq%2BzMqc8iu0mzaw%2FcoDGTlTNzi47a2Y1ch6HUx%2BA%3D&url=https%3A%2F%2Fwww.mercadolibre.com.ar%2Fconvector-ch-p120bae1-2000w-negro-midea%2Fp%2FMLA21806031%23wid%3DMLA1438339920%26sid%3Doffers%26searchVariation%3DMLA21806031%26position%3D9%26search_layout%3Dgrid%26deal_print_id%3D34fc018d-ccdb-42da-ad52-2c2779f42497%26tracking_id%3Dc7250f89-69b6-47bd-9599-609ec6151755&lm=-1730152641#polycard_client=offers&deal_print_id=34fc018d-ccdb-42da-ad52-2c2779f42497&position=6&tracking_id=c7250f89-69b6-47bd-9599-609ec6151755&wid=MLA1438339920&sid=offers,92699.0,64599.0,30,4.5,174
Escalera De Aluminio Plegable Plegable 4x4 Multipropósito Color Plateado,222.088,139.717,37% OFF,HARTE FLOORING,Por Green Deco ,4.7,(310),Llega gratis hoy,Mismo precio en 3 cuotas de $46.572,False,https://http2.mlstatic.com/D_Q_NP_2X_651337-MLA84857957535_052025-AB.webp,https://www.mercadolibre.com.ar/escalera-de-aluminio-plegable-plegable-4x4-multiproposito-color-plateado/p/MLA19738196?pdp_filters=item_id%3AMLA1948990414#polycard_client=offers&wid=MLA1948990414&sid=offers&deal_print_id=34fc018d-ccdb-42da-ad52-2c2779f42497&tracking_id=c7250f89-69b6-47bd-9599-609ec6151755&position=13,222088.0,139717.0,37,4.7,310
